,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,65.26,88,75,1.99,broken clouds
1,Langsa,ID,4.4683,97.9683,83.28,75,99,4.63,overcast clouds
2,Kapaa,US,22.0752,-159.319,78.78,78,40,1.99,scattered clouds
3,Saint-Philippe,RE,-21.3585,55.7679,81.99,82,95,15.52,overcast clouds
4,Dikson,RU,73.5069,80.5464,-12.95,96,100,16.55,overcast clouds
5,Vilyuysk,RU,63.7553,121.6247,-15.86,95,100,7.27,overcast clouds
6,Santa Rita,BR,-7.1139,-34.9781,75.87,88,20,4.61,few clouds
7,Kodiak,US,57.79,-152.4072,35.11,48,0,13.8,clear sky
8,Katsuura,JP,35.1333,140.3,48.24,32,27,2.35,scattered clouds
9,Geraldton,AU,-28.7667,114.6,78.13,31,40,20.71,scattered clouds
10,Guarapari,BR,-20.6667,-40.4975,78.69,90,0,10.16,clear sky
11,Mataura,NZ,-46.1927,168.8643,59.49,45,5,5.14,clear sky
12,Norman Wells,CA,65.282,-126.8329,-12.96,70,100,20.71,light snow
13,Airai,TL,-8.9266,125.4092,71.83,74,57,2.55,broken clouds
14,Constitucion,CL,-35.3333,-72.4167,57.13,81,0,2.71,clear sky
15,Lebu,CL,-37.6167,-73.65,58.28,93,5,13.67,clear sky
16,Provideniya,RU,64.3833,-173.3,-0.29,65,4,4.47,clear sky
17,Mataura,NZ,-46.1927,168.8643,59.49,45,5,5.14,clear sky
18,Hobart,AU,-42.8794,147.3294,81.01,43,20,9.22,few clouds
19,Geraldton,AU,-28.7667,114.6,78.13,31,40,20.71,scattered clouds
20,Lavrentiya,RU,65.5833,-171.0,-20.47,91,59,8.88,broken clouds
21,Saint-Philippe,RE,-21.3585,55.7679,81.99,82,95,15.52,overcast clouds
22,New Norfolk,AU,-42.7826,147.0587,80.65,28,0,4.0,clear sky
23,Cuiluan,CN,47.72,128.648,14.05,73,100,9.82,overcast clouds
24,Arraial Do Cabo,BR,-22.9661,-42.0278,74.86,93,1,14.88,clear sky
25,Khatanga,RU,71.9667,102.5,-18.33,98,100,9.69,overcast clouds
26,Alofi,NU,-19.0595,-169.9187,80.49,89,100,2.3,light intensity drizzle
27,Coahuayana,MX,18.7333,-103.6833,68.7,73,58,3.98,broken clouds
28,Mataura,NZ,-46.1927,168.8643,59.49,45,5,5.14,clear sky
29,Butaritari,KI,3.0707,172.7902,81.79,76,58,15.86,light rain
30,Miles City,US,46.4083,-105.8406,38.37,60,0,9.22,clear sky
31,Oistins,BB,13.0667,-59.5333,75.29,83,75,14.97,broken clouds
32,Carnarvon,AU,-24.8667,113.6333,80.67,36,5,23.02,clear sky
33,Bluff,NZ,-46.6,168.3333,59.81,68,0,14.41,clear sky
34,Saint-Philippe,RE,-21.3585,55.7679,81.99,82,95,15.52,overcast clouds
35,Tosya,TR,41.0155,34.0401,23.52,96,63,3.58,broken clouds
