City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Langsa,ID,83.28,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
2,Kapaa,US,78.78,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
3,Saint-Philippe,RE,81.99,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
6,Santa Rita,BR,75.87,few clouds,-7.1139,-34.9781,Infinity Motel
9,Geraldton,AU,78.13,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
10,Guarapari,BR,78.69,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
18,Hobart,AU,81.01,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
19,Geraldton,AU,78.13,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
21,Saint-Philippe,RE,81.99,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
22,New Norfolk,AU,80.65,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
24,Arraial Do Cabo,BR,74.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
26,Alofi,NU,80.49,light intensity drizzle,-19.0595,-169.9187,Taloa Heights
29,Butaritari,KI,81.79,light rain,3.0707,172.7902,Isles Sunset Lodge
31,Oistins,BB,75.29,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
32,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
34,Saint-Philippe,RE,81.99,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
38,Manvi,IN,80.46,broken clouds,15.9833,77.05,ರಾಮಣ್ಣ ನಾಯಕ
41,Kapaa,US,78.78,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Puerto Ayora,EC,73.54,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
45,Puerto Ayora,EC,73.54,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
46,Touros,BR,76.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
48,Maicao,CO,74.79,clear sky,11.3832,-72.2432,Hotel Sancho
49,Hithadhoo,MV,82.62,few clouds,-0.6,73.0833,Scoop Guest House
52,Port Hedland,AU,82.45,moderate rain,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
56,Natal,BR,79.02,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
57,Hithadhoo,MV,82.62,few clouds,-0.6,73.0833,Scoop Guest House
59,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
64,Rikitea,PF,78.98,clear sky,-23.1203,-134.9692,People ThankYou
65,Hambantota,LK,82.74,scattered clouds,6.1241,81.1185,Bungalow 63
