,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rocha,UY,-34.4833,-54.3333,62.29,78,78,13.4,broken clouds
1,Rumonge,BI,-3.9736,29.4386,68.85,96,100,3.98,moderate rain
2,Pisco,PE,-13.7,-76.2167,65.01,94,40,2.3,scattered clouds
3,Kodiak,US,57.79,-152.4072,33.31,51,20,12.66,few clouds
4,Antofagasta,CL,-23.65,-70.4,63.68,80,16,1.86,few clouds
5,Lasa,IT,46.6166,10.7002,34.54,88,100,9.95,light snow
6,Chuy,UY,-33.6971,-53.4616,62.04,83,48,13.42,scattered clouds
7,Mataura,NZ,-46.1927,168.8643,57.47,53,4,5.44,clear sky
8,San Patricio,US,28.017,-97.5169,55.38,86,100,7.61,overcast clouds
9,New Norfolk,AU,-42.7826,147.0587,79.66,31,0,3.0,clear sky
10,Guilin,CN,25.2819,110.2864,48.31,83,99,7.9,overcast clouds
11,Busselton,AU,-33.65,115.3333,71.1,45,41,20.62,scattered clouds
12,Hailar,CN,49.2,119.7,12.18,91,100,8.84,overcast clouds
13,Zhicheng,CN,30.2956,111.5047,35.35,97,92,3.83,overcast clouds
14,Palauig,PH,15.435,119.9045,85.12,60,40,2.44,scattered clouds
15,San Quintin,MX,30.4833,-115.95,57.22,46,0,1.34,clear sky
16,Portobelo,PA,9.55,-79.65,75.06,82,17,10.11,few clouds
17,Rikitea,PF,-23.1203,-134.9692,79.02,73,9,17.36,clear sky
18,Punta Arenas,CL,-53.15,-70.9167,53.71,82,75,9.22,broken clouds
19,Hobart,AU,-42.8794,147.3294,80.02,45,20,9.22,few clouds
20,Rikitea,PF,-23.1203,-134.9692,79.02,73,9,17.36,clear sky
21,Ushuaia,AR,-54.8,-68.3,62.26,63,40,12.66,scattered clouds
22,Ostrovnoy,RU,68.0531,39.5131,11.07,88,19,16.69,few clouds
23,Rzeszow,PL,50.0413,21.999,38.91,90,75,4.0,light intensity shower rain
24,Punta Arenas,CL,-53.15,-70.9167,53.71,82,75,9.22,broken clouds
25,Kavieng,PG,-2.5744,150.7967,83.91,69,77,1.1,broken clouds
26,Roebourne,AU,-20.7833,117.1333,90.61,60,52,14.25,light rain
27,Krasnoselkup,RU,65.7,82.4667,-14.78,98,46,5.79,scattered clouds
28,Mataura,NZ,-46.1927,168.8643,57.47,53,4,5.44,clear sky
29,Rikitea,PF,-23.1203,-134.9692,79.02,73,9,17.36,clear sky
30,Salalah,OM,17.0151,54.0924,75.29,22,0,14.97,clear sky
